host_name,count,percentage
Cecilia,3,0.03787400580734756
Nicolas,3,0.03787400580734756
Ghislain,3,0.03787400580734756
Be My Home,2,0.025249337204898373
Kristin,2,0.025249337204898373
Yin,4,0.050498674409796745
Gap Year,8,0.10099734881959349
Ailing,2,0.025249337204898373
Quinn,4,0.050498674409796745
Charlene,3,0.03787400580734756
Sam,17,0.21461936624163616
Nargis,3,0.03787400580734756
Kenny,4,0.050498674409796745
Hanjin,2,0.025249337204898373
Sebastian,2,0.025249337204898373
Adam,6,0.07574801161469512
Brian,8,0.10099734881959349
Weiguo,3,0.03787400580734756
Ting,2,0.025249337204898373
Shwu Shenn,3,0.03787400580734756
Marilyn,8,0.10099734881959349
Geraldine,7,0.0883726802171443
Rajan,78,0.9847241509910365
Tanya,4,0.050498674409796745
Kaurus,112,1.4139628834743088
Betty,11,0.13887135462694103
Dianne,3,0.03787400580734756
Rare.Group,2,0.025249337204898373
Audrey,10,0.12624668602449185
Sherry,2,0.025249337204898373
Oakwood Premier OUE Singapore,15,0.18937002903673777
Mandelyn,8,0.10099734881959349
Cp,3,0.03787400580734756
Francesca,2,0.025249337204898373
Mitul,6,0.07574801161469512
Joel,4,0.050498674409796745
Samuel,2,0.025249337204898373
Mich,8,0.10099734881959349
Mandy,2,0.025249337204898373
Yoyo,2,0.025249337204898373
Moira,2,0.025249337204898373
Fan,2,0.025249337204898373
Ben,48,0.605984092917561
Kramer,2,0.025249337204898373
Nuzaibah,2,0.025249337204898373
Y2m,2,0.025249337204898373
Vivian,11,0.13887135462694103
Natalia,2,0.025249337204898373
Emily,3,0.03787400580734756
Hazel,5,0.06312334301224592
Dan,14,0.1767453604342886
Rahul,2,0.025249337204898373
Alexander,4,0.050498674409796745
Rosey,2,0.025249337204898373
Edmund,10,0.12624668602449185
Ow,2,0.025249337204898373
明洁,2,0.025249337204898373
Tiffany,3,0.03787400580734756
Oscar,4,0.050498674409796745
Candy,2,0.025249337204898373
Shu,16,0.20199469763918698
Htin,2,0.025249337204898373
Kent,3,0.03787400580734756
Lydia,7,0.0883726802171443
Serene,3,0.03787400580734756
Angel,2,0.025249337204898373
Heritage,7,0.0883726802171443
Dominique,2,0.025249337204898373
Royal,22,0.27774270925388206
Na,2,0.025249337204898373
Christina,2,0.025249337204898373
Walter,5,0.06312334301224592
S,4,0.050498674409796745
Alice,5,0.06312334301224592
Yong Wah,2,0.025249337204898373
Tara,2,0.025249337204898373
Richard,7,0.0883726802171443
Adler,15,0.18937002903673777
Natasha,2,0.025249337204898373
Tony,5,0.06312334301224592
Diane,6,0.07574801161469512
Zari,3,0.03787400580734756
Shangping,2,0.025249337204898373
静,24,0.3029920464587805
Carl,3,0.03787400580734756
Zhou,3,0.03787400580734756
Rajendra,2,0.025249337204898373
Bobby,2,0.025249337204898373
Andrew,10,0.12624668602449185
Yee,36,0.4544880696881707
Nana,3,0.03787400580734756
Darius,4,0.050498674409796745
Hz,5,0.06312334301224592
Natesh,2,0.025249337204898373
Kathleen,3,0.03787400580734756
Veronica,2,0.025249337204898373
Za,2,0.025249337204898373
Stephen,3,0.03787400580734756
Eve,2,0.025249337204898373
Jan,21,0.2651180406514329
Sangi,2,0.025249337204898373
Chan,2,0.025249337204898373
Shasha,25,0.3156167150612296
Regina,2,0.025249337204898373
Vanessa,5,0.06312334301224592
Jasmine,5,0.06312334301224592
Anthony,25,0.3156167150612296
Rachel,5,0.06312334301224592
Shyam,2,0.025249337204898373
Mai,2,0.025249337204898373
Olivia,6,0.07574801161469512
Kevin,33,0.4166140638808231
Nanda,23,0.29036737785633127
Sheryl,2,0.025249337204898373
Kim,2,0.025249337204898373
Annie,4,0.050498674409796745
Alysson,4,0.050498674409796745
Mike,32,0.40398939527837396
Luis,2,0.025249337204898373
Ken,10,0.12624668602449185
Marshall,4,0.050498674409796745
Teddy,6,0.07574801161469512
Louis,2,0.025249337204898373
Nan,2,0.025249337204898373
Bianca,4,0.050498674409796745
Susie,16,0.20199469763918698
Alfian,2,0.025249337204898373
Joseph,6,0.07574801161469512
Dex,4,0.050498674409796745
Joy,2,0.025249337204898373
Superb Hostel,7,0.0883726802171443
Sam & Jenny,2,0.025249337204898373
Gordon,2,0.025249337204898373
Hedy,3,0.03787400580734756
Stone,2,0.025249337204898373
Elizabeth,10,0.12624668602449185
Julian,16,0.20199469763918698
Zhang,6,0.07574801161469512
Go,6,0.07574801161469512
Hanna,2,0.025249337204898373
Huang,2,0.025249337204898373
Yvonne,5,0.06312334301224592
Jessica,8,0.10099734881959349
B.C,3,0.03787400580734756
Leanda,2,0.025249337204898373
Kiddy,3,0.03787400580734756
Daniel,22,0.27774270925388206
Accomodation,3,0.03787400580734756
MyCity,2,0.025249337204898373
Chua,3,0.03787400580734756
Orchard Point,6,0.07574801161469512
Meadowland,7,0.0883726802171443
Ml,2,0.025249337204898373
Myvonne,2,0.025249337204898373
Jimmy,39,0.49236207549551825
Min,2,0.025249337204898373
Kathy,9,0.11362201742204267
Nurlinahwati,2,0.025249337204898373
Breeze,4,0.050498674409796745
Perfect,2,0.025249337204898373
Gfourstation,14,0.1767453604342886
Junio,2,0.025249337204898373
Julie,20,0.2524933720489837
Antoine,4,0.050498674409796745
Trisha,2,0.025249337204898373
Beary Best Hostel,9,0.11362201742204267
Eddy,3,0.03787400580734756
Beibei,2,0.025249337204898373
Alee,6,0.07574801161469512
Neha,34,0.4292387324832723
Aleksandra,2,0.025249337204898373
Alexandre,2,0.025249337204898373
Su Moy,27,0.34086605226612804
Sukri,2,0.025249337204898373
Jas,4,0.050498674409796745
Kingsley,2,0.025249337204898373
Jamie,3,0.03787400580734756
Wei,26,0.32824138366367883
Yzsa,6,0.07574801161469512
Ine,3,0.03787400580734756
Any,2,0.025249337204898373
Quarters,4,0.050498674409796745
Jess,3,0.03787400580734756
Xiang,2,0.025249337204898373
Lily,21,0.2651180406514329
Regina & Co.,6,0.07574801161469512
Mickael,2,0.025249337204898373
Kiwi Sg Home,10,0.12624668602449185
Nancy,10,0.12624668602449185
George,5,0.06312334301224592
Amelia,16,0.20199469763918698
Dede,2,0.025249337204898373
KeSa,4,0.050498674409796745
Ferdi,2,0.025249337204898373
Shi You,2,0.025249337204898373
Katherine,31,0.39136472667592476
Violet,2,0.025249337204898373
Marina,2,0.025249337204898373
Sk,9,0.11362201742204267
Rain,115,1.4518368892816564
Shuhui,3,0.03787400580734756
W3,14,0.1767453604342886
Marina Bay Sands Hotel,2,0.025249337204898373
Lotus,2,0.025249337204898373
Andy,12,0.15149602322939024
Jini,7,0.0883726802171443
Moon&Kim,6,0.07574801161469512
Vicky,2,0.025249337204898373
Jade,2,0.025249337204898373
Sandeep,3,0.03787400580734756
Teo,5,0.06312334301224592
PARKROYAL Serviced Suites,2,0.025249337204898373
Herman,13,0.16412069183183942
Colour,2,0.025249337204898373
Kenneth,10,0.12624668602449185
Property,7,0.0883726802171443
Meadows,17,0.21461936624163616
Ay,2,0.025249337204898373
Hipstercity,4,0.050498674409796745
Terry,5,0.06312334301224592
Lucy,28,0.3534907208685772
Kalyan Chakravarthi,2,0.025249337204898373
Squirrel Homes,2,0.025249337204898373
Shirley,68,0.8584774649665446
Tay,4,0.050498674409796745
Chester,3,0.03787400580734756
Christine,18,0.22724403484408534
Vincent,3,0.03787400580734756
Justin,9,0.11362201742204267
Han,25,0.3156167150612296
Ai,2,0.025249337204898373
Gopal,6,0.07574801161469512
Aaron,145,1.8305769473551319
Ashu,2,0.025249337204898373
Peir,2,0.025249337204898373
Lulier,13,0.16412069183183942
Cheng,2,0.025249337204898373
K2 Guesthouse,32,0.40398939527837396
Heritage Apartments,40,0.5049867440979674
Peter,15,0.18937002903673777
Garance,2,0.025249337204898373
Apple,6,0.07574801161469512
Jeannie,2,0.025249337204898373
Brandon,3,0.03787400580734756
Ryan,4,0.050498674409796745
Jane,7,0.0883726802171443
Owens,2,0.025249337204898373
Vinn,45,0.5681100871102134
Tina,7,0.0883726802171443
Ric,3,0.03787400580734756
Aveline,2,0.025249337204898373
Sofia,3,0.03787400580734756
Lorraine,3,0.03787400580734756
Nina,2,0.025249337204898373
Lei,2,0.025249337204898373
Jafar,2,0.025249337204898373
Jiayi,10,0.12624668602449185
Belle,33,0.4166140638808231
Atlantis,10,0.12624668602449185
David,26,0.32824138366367883
Char,3,0.03787400580734756
North-East Region,2,0.025249337204898373
Bc,7,0.0883726802171443
Mona,3,0.03787400580734756
Mohamed,3,0.03787400580734756
Xiaoyu,79,0.9973488195934856
Bryan,14,0.1767453604342886
Xi,2,0.025249337204898373
Lisa,2,0.025249337204898373
Cathy,2,0.025249337204898373
XY Hotel Bugis,15,0.18937002903673777
Thomas,5,0.06312334301224592
Alaric,6,0.07574801161469512
Seng,2,0.025249337204898373
Shan,3,0.03787400580734756
Kay,28,0.3534907208685772
Paul,6,0.07574801161469512
Phan,2,0.025249337204898373
Alexis,2,0.025249337204898373
Robert,2,0.025249337204898373
Apt,3,0.03787400580734756
Flemmin,2,0.025249337204898373
Natasha K,2,0.025249337204898373
Ho,5,0.06312334301224592
Benny,22,0.27774270925388206
Lesley,2,0.025249337204898373
国勇,2,0.025249337204898373
Rc,48,0.605984092917561
Sara,6,0.07574801161469512
Rebekah,14,0.1767453604342886
Esther,11,0.13887135462694103
Ian,9,0.11362201742204267
Lan,3,0.03787400580734756
Jeremy,6,0.07574801161469512
Matt,3,0.03787400580734756
Ivan,4,0.050498674409796745
Adrian,7,0.0883726802171443
Choo,2,0.025249337204898373
The Quay,8,0.10099734881959349
Lee,35,0.4418634010857215
Expats Housing Provider @ Raffles P,41,0.5176114127004167
Jarovh,4,0.050498674409796745
Iana,3,0.03787400580734756
Bella,9,0.11362201742204267
Sunny&Lucy,4,0.050498674409796745
Desmond,2,0.025249337204898373
Wendy,6,0.07574801161469512
Yong Han,2,0.025249337204898373
Ming,2,0.025249337204898373
Fiona,5,0.06312334301224592
Ann Siang,5,0.06312334301224592
Zoe & Friends,3,0.03787400580734756
Angela,13,0.16412069183183942
Mamun,2,0.025249337204898373
Karen,10,0.12624668602449185
Beth,4,0.050498674409796745
Frank,3,0.03787400580734756
Cj,5,0.06312334301224592
Ang,4,0.050498674409796745
Stella,4,0.050498674409796745
Eugene,3,0.03787400580734756
Laura,6,0.07574801161469512
Val,3,0.03787400580734756
Henry,4,0.050498674409796745
Xx,3,0.03787400580734756
Paryani,64,0.8079787905567479
Angelika,2,0.025249337204898373
Fang,14,0.1767453604342886
Egem,2,0.025249337204898373
M Social,5,0.06312334301224592
Sharon,21,0.2651180406514329
Jeff,2,0.025249337204898373
Victor,2,0.025249337204898373
Leslie,2,0.025249337204898373
RouYi,2,0.025249337204898373
Meganathan,2,0.025249337204898373
Apollo,67,0.8458527963640955
Suan Khim,2,0.025249337204898373
23 Lees,3,0.03787400580734756
Steven,8,0.10099734881959349
Ron,2,0.025249337204898373
Jay,290,3.6611538947102638
Isabel,2,0.025249337204898373
Studios,14,0.1767453604342886
William,6,0.07574801161469512
Mr. J,14,0.1767453604342886
UniWorld,3,0.03787400580734756
